Cuenta,Nombre_Cuenta,Ano,Mes,Tiempo,Semestre,Trimestre,Activa,Reactiva,Relacion,Cumple,Cumple_bin,Pago,Temperatura,Vacaciones,Excedente
167383918,Central_4,2022,5,5,1,2,22320,5040,0.22580645161290322,Sí,1,16819150,27.4693548387097,0,0
167383918,Central_4,2022,6,6,1,2,18120,4080,0.2251655629139073,Sí,1,13428820,26.9806597222222,1,0
167383918,Central_4,2022,7,7,2,3,16560,3720,0.2246376811594203,Sí,1,12864200,27.4723118279569,1,0
167383918,Central_4,2022,8,8,2,3,13800,2760,0.2,Sí,1,10869610,28.766061827957,0,0
167383918,Central_4,2022,9,9,2,3,23640,4920,0.20812182741116753,Sí,1,19056010,28.1711458333334,0,0
167383918,Central_4,2022,10,10,2,4,24240,5520,0.22772277227722773,Sí,1,20233480,27.3299059139785,0,0
167383918,Central_4,2022,11,11,2,4,25560,6000,0.2347417840375587,Sí,1,21371710,26.8700694444445,0,0
167383918,Central_4,2022,12,12,2,4,19920,4800,0.24096385542168675,Sí,1,16619800,27.2946908602151,1,0
167383918,Central_4,2023,1,13,1,1,7080,1200,0.1694915254237288,Sí,1,6028910,26.8767809139784,1,0
167383918,Central_4,2023,2,14,1,1,25320,5640,0.22274881516587677,Sí,1,21478100,28.8405133928571,0,0
167383918,Central_4,2023,3,15,1,1,31200,7080,0.22692307692307692,Sí,1,26889960,27.2683467741935,0,0
167383918,Central_4,2023,4,16,1,2,21360,4680,0.21910112359550563,Sí,1,18689220,27.4665972222222,0,0
167383918,Central_4,2023,5,17,1,2,30360,6240,0.20553359683794467,Sí,1,26587190,28.4166666666666,0,0
167383918,Central_4,2023,6,18,1,2,12960,2160,0.16666666666666666,Sí,1,11645190,28.9079861111111,1,0
167383918,Central_4,2023,7,19,2,3,10080,1440,0.14285714285714285,Sí,1,8577210,29.0793346774194,1,0
167383918,Central_4,2023,8,20,2,3,30360,5400,0.17786561264822134,Sí,1,27331770,30.53625672043,0,0
167383918,Central_4,2023,9,21,2,3,36120,6480,0.17940199335548174,Sí,1,32744240,31.2740624999999,0,0
167383918,Central_4,2023,10,22,2,4,29400,4800,0.16326530612244897,Sí,1,26828980,30.6813508064518,0,0
167383918,Central_4,2023,11,23,2,4,24840,4800,0.1932367149758454,Sí,1,23595770,28.8109027777778,0,0
167383918,Central_4,2023,12,24,2,4,10560,1680,0.1590909090909091,Sí,1,10880450,28.8266465053764,1,0
167383918,Central_4,2024,1,25,1,1,10440,1440,0.13793103448275862,Sí,1,11104360,30.0812900641025,1,0
167383918,Central_4,2024,2,26,1,1,30240,4560,0.15079365079365079,Sí,1,32107880,30.1744252873562,0,0
167383918,Central_4,2024,3,27,1,1,30600,4800,0.1568627450980392,Sí,1,32041600,30.6373655913979,0,0
167383918,Central_4,2024,5,28,1,2,34920,5520,0.15807560137457044,Sí,1,23416610,28.5051411290322,0,0
167383918,Central_4,2024,6,29,1,2,17160,2040,0.11888111888111888,Sí,1,22840900,28.4969791666667,1,0
167383918,Central_4,2024,7,30,2,3,13200,1320,0.1,Sí,1,14094340,29.0219791666667,1,0
167383918,Central_4,2024,8,31,2,3,26400,4200,0.1590909090909091,Sí,1,30171270,29.9840389784946,0,0
167383918,Central_4,2024,9,32,2,3,36720,5880,0.16013071895424835,Sí,1,40839080,31.5828663793105,0,0
167383918,Central_4,2024,10,33,2,4,29760,4080,0.13709677419354838,Sí,1,31907140,29.8887768817204,0,0
167383918,Central_4,2024,11,34,2,4,30240,4560,0.15079365079365079,Sí,1,31547480,27.575,0,0
167383918,Central_4,2024,12,35,2,4,14520,2640,0.18181818181818182,Sí,1,15415070,27.8675067204301,1,0
167383918,Central_4,2025,1,36,1,1,12000,1080,0.09,Sí,1,13102540,28.4809475806451,1,0
167383918,Central_4,2025,2,37,1,1,22680,3600,0.15873015873015872,Sí,1,25157760,28.0261904761904,0,0
167383918,Central_4,2025,3,38,1,1,26520,4080,0.15384615384615385,Sí,1,27661940,27.3907930107528,0,0
167383918,Central_4,2025,4,39,1,2,23520,3720,0.15816326530612246,Sí,1,25448770,27.6582175925927,0,0
167383918,Central_4,2025,5,40,1,2,27480,4080,0.14847161572052403,Sí,1,30253580,27.4926523297491,0,0
167383918,Central_4,2025,6,41,1,2,13920,1920,0.13793103448275862,Sí,1,15472440,27.6680555555555,1,0
167383918,Central_4,2025,7,42,2,3,11280,1080,0.09574468085106383,Sí,1,13046930,28.7328853046594,1,0
167383918,Central_4,2025,8,43,2,3,25320,3480,0.13744075829383887,Sí,1,27331390,28.9784050179211,0,0
167385482,Central_2,2022,1,1,1,1,65140,35317,0.5421707092416334,No,0,44424880,27.9550595238095,1,3724.100000000002
167385482,Central_2,2022,2,2,1,1,82902,43553,0.5253552387155919,No,0,53743460,27.5989211309524,0,3345.529999999999
167385482,Central_2,2022,3,3,1,1,85713,46245,0.539533092996395,No,0,57680470,27.2953293010752,0,4674.195
167385482,Central_2,2022,4,4,1,2,90914,49250,0.5417207470796577,No,0,61863820,27.4437847222222,0,5156.709999999999
167385482,Central_2,2022,5,5,1,2,119784,65221,0.5444884124757897,No,0,84923280,27.4693548387097,0,7125.760000000002
167385482,Central_2,2022,6,6,1,2,87056,50077,0.5752274398088587,No,0,60537310,26.9806597222222,1,7854.840000000004
167385482,Central_2,2022,7,7,2,3,101016,56275,0.5570899659459888,No,0,79997220,27.4723118279569,1,7282.239999999998
167385482,Central_2,2022,8,8,2,3,78811,45475,0.5770133610790372,No,0,58645840,28.766061827957,0,7251.665000000001
167385482,Central_2,2022,9,9,2,3,118592,63830,0.53823192120885055,No,0,77346450,28.1711458333334,0,6312.880000000005
167385482,Central_2,2022,10,10,2,4,104198,58481,0.5612487763680685,No,0,76193190,27.3299059139785,0,7944.970000000001
167385482,Central_2,2022,11,11,2,4,110875,61070,0.5508004509582863,No,0,79542770,26.8700694444445,0,7295.625
167385482,Central_2,2022,12,12,2,4,77267,49090,0.6353294420645295,No,0,56050020,27.2946908602151,1,11615.505000000005
167385482,Central_2,2023,1,13,1,1,58597,41479,0.7078690035326041,No,0,43561690,26.8767809139784,1,13059.455000000002
167385482,Central_2,2023,2,14,1,1,113960,59561,0.5226482976482977,No,0,78955890,28.8405133928571,0,4290.4000000000015
167385482,Central_2,2023,3,15,1,1,123733,65277,0.527563382444457,No,0,90324210,27.2683467741935,0,5266.495000000003
167385482,Central_2,2023,4,16,1,2,100473,54640,0.5438276950026375,No,0,69230010,27.4665972222222,0,5910.595000000001
167385482,Central_2,2023,5,17,1,2,133816,68427,0.5113514079033897,No,0,89559090,28.4166666666666,0,3526.2400000000052
167385482,Central_2,2023,6,18,1,2,70858,41826,0.5902791498489938,No,0,62343130,28.9079861111111,1,7459.870000000003
167385482,Central_2,2023,7,19,2,3,75596,41682,0.5513783798084555,No,0,53179380,29.0793346774194,1,5017.940000000002
167385482,Central_2,2023,8,20,2,3,152443,76955,0.5048116345125719,No,0,104047420,30.53625672043,0,3020.145000000004
167385482,Central_2,2023,9,21,2,3,164751,83935,0.5094657999040977,No,0,107981470,31.2740624999999,0,4030.7649999999994
167385482,Central_2,2023,10,22,2,4,145731,73621,0.5051842092622709,No,0,98492050,30.6813508064518,0,2941.4649999999965
167385482,Central_2,2023,11,23,2,4,133247,66983,0.5026979969530271,No,0,93265300,28.8109027777778,0,2358.2050000000017
167385482,Central_2,2023,12,24,2,4,63732,38225,0.5997771919914643,No,0,47498590,28.8266465053764,1,7314.98
167385482,Central_2,2024,1,25,1,1,75510,43680,0.578466428287644,No,0,53872870,30.0812900641025,1,7057.6500000000015
167385482,Central_2,2024,2,26,1,1,146188,73574,0.503283443237475,No,0,99456450,30.1744252873562,0,2672.820000000007
167385482,Central_2,2024,3,27,1,1,132994,69999,0.5263320149781193,No,0,94698700,30.6373655913979,0,5496.9100000000035
167385482,Central_2,2024,4,28,1,2,149518,75251,0.5032905737101887,No,0,104766740,29.3636458333333,0,2734.770000000004
167385482,Central_2,2024,5,29,1,2,138709,69583,0.501647333626513,No,0,102914280,28.5051411290322,0,2309.1349999999948
167385482,Central_2,2024,6,30,1,2,59956,32450,0.5412302355060378,No,0,45987610,28.4969791666667,1,3371.34
167385482,Central_2,2024,7,31,2,3,79494,43357,0.5454122323697386,No,0,60948960,29.0219791666667,1,4802.4100000000035
167385482,Central_2,2024,8,32,2,3,136540,70171,0.5139226600263659,No,0,96838430,29.9840389784946,0,3949.100000000006
167385482,Central_2,2024,9,33,2,3,159447,80390,0.5041800723751466,No,0,108334710,31.5828663793105,0,3058.2050000000017
167385482,Central_2,2024,10,34,2,4,138631,71141,0.5131680504360496,No,0,96366670,29.8887768817204,0,3904.9649999999965
